Cm,Ch,Bm,Bh,T,R,G,B
0,0.002,0.2,1,0.01,153.97,144.82,147.06
0,0.002,0.2,1,0.058,158.4,152.36,153.54
0,0.002,0.2,1,0.106,162.3,153.96,157.15
0,0.002,0.2,1,0.154,164.61,156.88,158.47
0,0.002,0.2,1,0.202,167.9,157.84,162.21
0,0.002,0.2,1,0.25,169.94,156.53,165.33
0,0.002,0.4,0,0.01,154.58,147.7,146.91
0,0.002,0.4,0,0.058,159.3,151.36,154.8
0,0.002,0.4,0,0.106,152.48,153.31,158.88
0,0.002,0.4,0,0.154,156.69,153.84,160.32
0,0.002,0.4,0,0.202,158.67,155.95,162.52
0,0.002,0.4,0,0.25,161.99,157.15,164.26
0,0.002,0.4,0.2,0.01,144.86,143.75,144.02
0,0.002,0.4,0.2,0.058,150.96,149.19,151.75
0,0.002,0.4,0.2,0.106,153.45,151.55,155.95
0,0.002,0.4,0.2,0.154,156.03,154.66,159.49
0,0.002,0.4,0.2,0.202,162.4,154.43,161.91
0,0.002,0.4,0.2,0.25,162.35,155.45,164.12
0,0.002,0.4,0.4,0.01,150.33,142.33,143.96
0,0.002,0.4,0.4,0.058,155.43,145.2,151.17
0,0.002,0.4,0.4,0.106,157.6,148.45,154.89
0,0.002,0.4,0.4,0.154,159.41,151.29,159.07
0,0.002,0.4,0.4,0.202,161.89,153.81,160.37
0,0.002,0.4,0.4,0.25,172.49,159.94,163.39
0,0.002,0.4,0.6,0.01,159.57,146.06,145.69
0,0.002,0.4,0.6,0.058,163.58,149.41,153.3
0,0.002,0.4,0.6,0.106,168.28,151.84,156.4
0,0.002,0.4,0.6,0.154,169.01,154.36,159.97
0,0.002,0.4,0.6,0.202,169.85,157,161.51
0,0.002,0.4,0.6,0.25,171.98,158.85,163.17
0,0.002,0.4,0.8,0.01,154.75,146.75,146.72
0,0.002,0.4,0.8,0.058,160.44,151.02,152.17
0,0.002,0.4,0.8,0.106,164.04,153.49,157.04
0,0.002,0.4,0.8,0.154,166.49,155.95,160.35
0,0.002,0.4,0.8,0.202,168.11,157.87,161.8
0,0.002,0.4,0.8,0.25,170.82,158.59,164.06
0,0.002,0.4,1,0.01,155.78,146.98,144.58
0,0.002,0.4,1,0.058,159.64,150.87,150.61
0,0.002,0.4,1,0.106,161.67,153.5,158.28
0,0.002,0.4,1,0.154,163.6,156.32,159.31
0,0.002,0.4,1,0.202,165.07,158.02,163.2
0,0.002,0.4,1,0.25,168.81,159.52,163.41
0,0.002,0.6,0,0.01,153.61,146.75,147.36
0,0.002,0.6,0,0.058,158.8,149.8,153.71
