x,y,W
0.0507446,0.0369402,0.140778
-0.029409,-0.0425478,0.513226
-0.250618,-0.209554,0.0543424
0.0619273,0.0521815,0.338781
0.080597,0.00783649,0.0136016
-0.00252724,-0.176403,0.24235
0.0722543,0.444489,0.017109
0.0203224,0.0125209,0.116787
0.0230891,0.0139932,0.109972
0.138202,0.185557,0.00376336
0.713149,0.171082,0.0578485
-0.788842,-0.237946,0.0120903
0.00137433,-0.00602058,0.324216
-0.044898,-0.119629,0.0214415
-0.0277129,0.0117852,0.0986538
-0.026024,-0.0977069,0.247952
-0.00386278,-0.0602096,0.047493
-0.091758,-0.0994307,0.209953
-0.249954,-0.0198501,0.0202033
-0.0214088,0.0110986,0.0428585
-0.0587516,0.0257552,0.0151324
-0.0662345,0.12115,0.064662
-0.188958,0.197421,0.0721871
-0.304743,0.81167,0.0163216
-0.388167,-0.595695,0.00874252
0.189816,0.312192,0.0317649
-0.00103188,-0.117523,0.073779
-1.07842,0.836624,0.0107861
0.142027,-0.0628904,0.0669907
-0.0045425,-0.00616134,0.491685
0.0146996,0.00736152,0.0796977
-0.22264,-0.208802,0.0191755
0.148018,-0.27562,0.0188023
-0.0943421,0.0606543,0.14269
-0.0213756,0.00511351,0.0525066
-0.531367,-0.0720731,0.187277
-2.11736,-0.416302,0.0131326
-0.0952587,0.0558365,0.138061
-0.077462,-0.00404674,0.0331509
-0.184867,0.0590035,0.00555371
0.574438,-0.129323,0.0305317
-0.21123,-0.276909,0.489035
0.000823331,-0.319845,0.109597
-0.947432,-1.91467,0.00220128
0.737817,1.81569,0.0033221
0.196615,0.0927299,0.0197539
0.0593798,-0.156445,0.490747
0.166352,0.894379,0.0662797
-0.214038,0.3295,0.0323946
-0.34038,0.204068,0.0724136
0.325252,-0.173214,0.0208207
0.00714463,-0.0484281,0.430606
0.00121076,-0.0113677,0.510275
0.0167669,-0.00929807,0.258053
-0.368399,-0.218618,0.110195
-0.289411,-0.310425,0.0104304
4.93763,-61.042,0.000332181
0.0572594,-0.0831653,0.195314
0.0347704,-0.00194525,0.404697
-1.03686,-0.53871,0.0277749
0.0772864,-0.0990875,0.126798
1.70371,-5.57255,0.00107879
-0.21115,-0.0363079,0.0328782
-1.14987,2.8182,0.0077394
-0.0748352,-0.0510763,0.343285
1.4207,-0.0387954,0.00721504
-0.000540162,-0.0413936,0.490855
-0.439695,-0.432542,0.00912007
-2.3103,3.7946,0.0162077
2.1811,-3.36498,0.0822144
0.0136321,-0.0109587,0.0459327
0.0667661,-0.0611883,0.0924262
0.060647,-0.00752305,0.0982171
8.65739,-0.597883,0.00107626
-0.10019,0.247314,0.0186361
-0.545027,-0.705752,0.0175379
-0.306072,0.218772,0.03642
-0.0707156,0.00905831,0.038598
-1.14768,0.262586,0.0150934
-0.0194371,0.630487,0.0243755
-0.047529,-0.198068,0.0288979
0.055307,-0.0117364,0.01329
0.0332051,-0.0300176,0.291497
0.0796803,-0.497874,0.00645649
-0.0355905,-0.101133,0.2445
0.140176,-0.0447444,0.164141
1.30872,-1.53005,0.00397432
-0.663271,-0.10707,0.0456685
-2.18218,5.59378,0.00446613
-0.097645,0.721724,0.00850515
0.108252,-0.00180779,0.0799032
-0.200251,-0.492496,0.0303904
-0.45113,-0.947606,0.00863834
0.0855046,0.0639358,0.508599
-0.574368,0.104783,0.00808953
-0.0201875,-0.0388745,0.212863
-4.12238,-0.565539,0.0052028
3.62263,0.542593,0.0111106
0.208233,-0.27365,0.0097308
0.142189,0.0552639,0.0189259
0.0309679,-0.126347,0.161472
0.483397,0.70101,0.0379943
-0.0433885,-0.106579,0.0297813
0.30041,0.544784,0.00634481
-1.35763,-0.333483,0.00118628
-1.38052,0.0677764,0.0124763
0.182377,0.479915,0.119126
0.0697466,-0.000693422,0.263851
-0.202284,0.266875,0.256026
-1.94041,-5.23257,0.00170547
1.84251,5.13528,0.102962
1.03488,0.164111,0.0953626
0.358887,-0.581367,0.0097736
0.290393,0.00352468,0.0732672
11.6878,9.11543,0.00238796
-11.7003,-9.39233,0.0186187
-0.835099,0.00963758,0.00808844
-3.77949,0.65842,0.007282
2.78354,-0.600581,0.0131338
-1.07261,-0.0342486,0.00216257
